Outcome Category,Match Type,N,Mean,Median,SD
All,Fuzzy,963,0.414,1.0,0.76
All,Exact,261,0.739,1.0,0.441
autoimmune,Fuzzy,65,0.173,0.5,0.871
autoimmune,Exact,41,0.843,1.0,0.309
cancer,Fuzzy,341,0.309,0.429,0.735
cancer,Exact,48,0.462,0.5,0.48
cardiovascular,Fuzzy,299,0.494,1.0,0.73
cardiovascular,Exact,115,0.749,1.0,0.446
metabolic,Fuzzy,162,0.394,1.0,0.823
metabolic,Exact,33,0.873,1.0,0.413
other,Fuzzy,4,1.0,1.0,0.0
other,Exact,1,0.5,0.5,
psychiatric,Fuzzy,92,0.725,1.0,0.626
psychiatric,Exact,23,0.903,1.0,0.324
